ID,Combo#,ball_mass,firing_height,band_length,short_long
run1,0,61.3,18,41.8,1
run2,8,94.1,23,43,1
run3,3,22.9,23,40.6,1
run4,1,22.9,13,40.6,1
run5,2,22.9,13,43,0
run6,4,22.9,23,43,1
run7,7,94.1,23,40.6,1
run8,6,94.1,13,43,1
run9,5,94.1,13,40.6,1
run10,0,61.3,18,41.8,1
run11,1,22.9,13,40.6,1
run12,4,22.9,23,43,1
run13,3,22.9,23,40.6,1
run14,6,94.1,13,43,0
run15,8,94.1,23,43,1
run16,2,22.9,13,43,0
run17,5,94.1,13,40.6,1
run18,7,94.1,23,40.6,1
run19,0,61.3,18,41.8,1
run20,2,22.9,13,43,0
run21,3,22.9,23,40.6,1
run22,6,94.1,13,43,1
run23,8,94.1,23,43,1
run24,5,94.1,13,40.6,1
run25,4,22.9,23,43,1
run26,7,94.1,23,40.6,1
run27,1,22.9,13,40.6,1
run28,0,61.3,18,41.8,1
trial 1,0,61.3,14,47,0
trial 2,1,22.9,9,42,0
trial 3,2,22.9,9,52,0
trial 4,3,22.9,19,42,1
trial 5,4,22.9,19,52,0
trial 6,5,94.1,9,42,0
trial 7,6,94.1,9,52,0
trial 8,7,94.1,19,42,1
trial 9,8,94.1,19,52,0
trial 10,0,61.3,14,47,0
trial 11,1,22.9,9,42,0
trial 12,2,22.9,9,52,0
trial 13,3,22.9,19,42,1
trial 14,4,22.9,19,52,0
trial 15,5,94.1,9,42,0
trial 16,6,94.1,9,52,0
trial 17,7,94.1,19,42,1
trial 18,8,94.1,19,52,0
trial 19,0,61.3,14,47,0
trial 20,1,22.9,9,42,0
trial 21,2,22.9,9,52,0
trial 22,3,22.9,19,42,1
trial 23,4,22.9,19,52,0
trial 24,5,94.1,9,42,0
trial 25,6,94.1,9,52,0
trial 26,7,94.1,19,42,1
trial 27,8,94.1,19,52,0
trial 28,0,61.3,14,47,0
ob1,0,61.3,10.4,39.5,1
ob2,3,22.9,14.2,33,1
ob3,2,22.9,6.6,46,0
ob4,6,94.1,6.6,46,0
ob5,8,94.1,14.2,46,1
ob6,5,94.1,6.6,33,1
ob7,4,22.9,14.2,46,1
ob8,7,94.1,14.2,33,1
ob9,1,22.9,6.6,33,1
ob10,0,61.3,10.4,39.5,1
ob11,2,22.9,6.6,46,0
ob12,1,22.9,6.6,33,1
ob13,3,22.9,14.2,33,1
ob14,4,22.9,14.2,46,1
ob15,5,94.1,6.6,33,1
ob16,7,94.1,14.2,33,1
ob17,8,94.1,14.2,46,1
ob18,6,94.1,6.6,46,0
ob19,0,61.3,10.4,39.5,1
ob20,1,22.9,6.6,33,1
ob21,4,22.9,14.2,46,1
ob22,3,22.9,14.2,33,1
ob23,6,94.1,6.6,46,0
ob24,8,94.1,14.2,46,1
ob25,2,22.9,6.6,46,0
ob26,5,94.1,6.6,33,1
ob27,7,94.1,14.2,33,1
ob28,0,61.3,10.4,39.5,1
op1,-1,68.5,7.36,47.25,1
op2,-1,68.5,7.36,47.25,1
op3,-1,68.5,7.36,47.25,1
op4,-1,68.5,7.36,47.25,1
test1,-1,68.5,21.5,41.2,1
test2,-1,68.5,21.5,41.2,1
test3,-1,68.5,21.5,41.2,1
test4,-1,68.5,21.5,41.2,1
T1,-1,68.5,16.5,42.9,1
T2,-1,68.5,16.5,42.9,1
T3,-1,68.5,16.5,42.9,1
T4,-1,68.5,16.5,42.9,1
Hit1,-1,22.9,22.1,43,1
Hit2,-1,22.9,22.1,43,1
Hit3,-1,22.9,22.1,43,1
Hit4,-1,22.9,22.1,43,1
